SOBEL
20.78666
4.09650
3.87150
8.14841
8.28067
3.68325
3.78808
6.03842
8.14650
8.37625
8.47758
14.05175
4.08208
6.00716
5.91667
8.18367
8.26758
19.25266
4.61992
5.91541
8.46108
8.57308
8.57508
8.28633
8.25891
8.28950
8.28266
20.89816
8.28158
8.25858
8.26075
3.67783
4.66100
4.82967
8.28008
8.57891
14.62175
13.98158
8.56991
8.27691
8.25258
8.27625
8.25075
8.15741
5.88625
6.21358
8.23700
8.25483
6.01467
14.33533
8.15350
8.48858
8.15558
8.44225
8.13750
8.24808
8.14666
8.16741
8.28166
8.26192
7.10142
6.02408
8.44725
10.85241
6.32908
6.33658
6.34766
6.33216
8.76716
4.43558
4.20575
5.26866
5.25692
5.46375
6.54900
6.33142
6.32542
6.32542
6.34841
6.35408
8.43450
8.46741
8.75683
8.47316
13.56491
13.68633
8.25883
8.48392
8.44550
8.25875
3.67058
6.01733
6.02700
8.25941
16.74191
4.08375
4.18483
6.03042
8.26783
8.25275
8.26808
8.60417
6.01341
5.90575
8.23475
14.03600
8.25108
8.26367
24.66108
8.14383
8.53766
8.27917
11.02891
5.88467
6.02175
11.09991
16.38708
8.27525
8.58450
8.26466
14.03133
8.43591
8.27116
8.18542
8.14375
16.68000
8.23783
8.23991
8.53841
3.64533
6.00375
6.04333
8.22883
6.22166
5.87483
8.24225
8.26291
14.02808
8.22625
8.22483
8.27666
20.74741
8.44433
8.47666
8.43133
8.24741
8.26508
8.22025
8.73425
8.26100
13.99666
5.56075
8.18558
8.28200
13.91891
8.14000
12.40416
8.59716
3.69892
3.67942
6.06400
5.99166
8.47241
17.43566
9.78483
10.37033
